theta,std,delta,c3,beta,e3,e1,normType,e2,gamma,c1,sigma,c2,alpha,h1,activity,h2,current song
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Agoria - Scala
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Agoria - Scala
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Agoria - Scala
13.41,894.4668071577568,12.46,0.81,13.08,2.39,5,2,5,12.74,-0.09,11.62,5,13.28,5,1,5,Agoria - Scala
13.59,894.8247400673525,12.44,0.74,13.18,2.41,5,2,5,12.73,-0.12,11.59,5,13.29,5,1,5,Agoria - Scala
13.55,893.4713931510084,12.15,0.24,13.28,2.48,5,2,5,12.8,-0.07,11.16,5,12.76,5,1,5,Agoria - Scala
14.48,1159.9613022119634,12.9,0.17,13.56,2.63,5,2,5,13.16,-0.49,11.88,5,13.66,5,1,5,Agoria - Scala
14.88,1337.5734986940856,13.29,0.12,13.63,2.7,5,2,5,13.34,-0.67,12.24,5,14.02,5,1,5,Agoria - Scala
14.98,1396.7215003135743,14.12,0.16,13.65,2.72,5,2,5,13.33,-0.75,12.33,5,14.19,5,1,5,Agoria - Scala
15.04,1416.7922073934312,14.46,0.18,13.58,2.74,5,2,5,13.32,-0.81,12.41,5,14.26,5,1,5,Agoria - Scala
14.75,1301.618221884688,14.35,0.13,13.54,2.72,5,2,5,13.12,-0.72,12.09,5,13.97,5,1,5,Agoria - Scala
14.45,1273.8318905175272,13.95,0.49,13.84,2.59,5,2,5,12.94,-0.52,12.54,5,14.11,5,1,5,Agoria - Scala
14.56,1227.8388318952123,13.65,0.39,13.8,2.61,5,2,5,12.98,-0.53,12.62,5,14,5,1,5,Agoria - Scala
14.43,1200.6363701860057,13.43,0.33,13.79,2.59,5,2,5,13.05,-0.45,12.54,5,13.84,5,1,5,Agoria - Scala
14.27,1135.6151878477604,13,0.42,13.76,2.53,5,2,5,13.06,-0.33,12.52,5,13.75,5,1,5,Agoria - Scala
