theta,std,delta,c3,beta,e3,e1,normType,e2,gamma,c1,sigma,c2,alpha,h1,activity,h2,current song
14.07,1018.5244426464662,12.61,0.18,13.24,2.6,5,2,5,12.95,-0.42,11.16,5,13.3,5,1,5,Agoria - Scala
13.51,906.9337165927064,13,0.11,13.21,2.47,5,2,5,13.08,0,11.39,5,12.6,5,1,5,Agoria - Scala
12.88,839.9721726255325,11.56,0.47,13.19,2.3,5,2,5,12.92,0.35,11.05,5,12.35,5,1,5,Agoria - Scala
13.02,843.2875821907588,11.72,0.48,13.12,2.33,5,2,5,12.89,0.25,11.13,5,12.48,5,1,5,Agoria - Scala
12.74,842.3402212099602,11.56,0.35,13.21,2.28,5,2,5,12.92,0.47,10.56,5,12.04,5,1,5,Agoria - Scala
12.15,800.0667483006305,10.83,0.74,13.15,2.1,4.97,2,5,12.84,0.82,9.96,5,11.84,5,1,4.99,Agoria - Scala
12.13,823.8000309631348,10.34,1.09,13.16,2.03,5,2,5,12.92,0.84,11.01,5,12.24,5,1,5,Agoria - Scala
12.2,832.3978586271173,10.83,1.15,13.12,2.05,4.94,2,5,12.96,0.77,11.26,5,12.4,5,1,4.98,Agoria - Scala
12.14,803.7769874478844,10.54,1.2,13.05,2.04,4.76,2,5,12.92,0.77,11.32,5,12.39,5,1,4.92,Agoria - Scala
11.99,789.4197540755395,10.32,1.27,12.99,2.01,5,2,5,12.86,0.8,11.46,5,12.35,5,1,5,Agoria - Scala
12.16,783.3236755570472,10.59,1.06,13.01,2.08,4.8,2,5,12.77,0.71,11.19,5,12.25,5,1,4.93,Agoria - Scala
11.93,759.4327647446818,10.29,0.99,12.98,2.04,4.98,2,5,12.85,0.86,10.74,5,11.97,5,1,4.99,Agoria - Scala
12.17,768.9804091066212,10.41,0.84,12.96,2.12,5,2,5,12.83,0.69,10.7,5,12.04,5,1,5,Agoria - Scala
12.51,815.7102180673676,11.15,0.62,13.05,2.22,5,2,5,12.88,0.49,10.87,5,12.18,5,1,5,Agoria - Scala
13.94,999.8535928214704,13.59,0.37,13.16,2.52,5,2,5,13.1,-0.26,11.61,5,13.29,5,1,5,Agoria - Scala
13.98,1008.9792020983372,13.67,0.36,13.23,2.53,5,2,5,13.02,-0.28,11.24,5,13.3,5,1,5,Agoria - Scala
13.95,1003.5916209532639,13.65,0.38,13.27,2.52,5,2,5,13.02,-0.25,11.12,5,13.29,5,1,5,Agoria - Scala
11.91,773.1581153070267,10.19,1.03,12.93,2.04,5,2,5,12.81,0.86,10.7,5,11.95,5,1,5,Agoria - Scala
11.83,771.3248481191227,10.55,0.91,12.93,2.05,5,2,5,12.79,0.88,10.39,5,11.79,5,1,5,Agoria - Scala
12.61,844.6147448489844,11.97,0.15,13.07,2.34,5,2,5,12.83,0.4,9.67,5,11.83,5,1,5,Agoria - Scala
12.44,848.6358598399275,11.85,0.31,13.19,2.27,5,2,5,12.94,0.52,10.45,5,11.92,5,1,5,Agoria - Scala
12.47,826.2627431125039,11.54,0.49,13.04,2.26,5,2,5,12.92,0.45,10.59,5,12.13,5,1,5,Agoria - Scala
11.9,782.3814304826619,10.29,1.09,12.97,2.02,4.96,2,5,12.93,0.86,10.67,5,12.11,5,1,4.98,Agoria - Scala
11.92,793.523447998257,9.92,1.06,13.01,2.01,5,2,5,13.01,0.92,10.75,5,12.02,5,1,5,Agoria - Scala
12.12,786.4356276874533,9.84,1.26,12.92,2.04,4.87,2,5,12.92,0.72,10.64,5,12.46,5,1,4.95,Agoria - Scala
11.93,789.1636181085336,10.13,1.23,13.01,1.99,4.74,2,5,12.99,0.89,10.41,5,12.24,5,1,4.91,Agoria - Scala
11.67,805.4829290590505,10.45,1.38,13.07,1.92,4.95,2,5,13.01,1.03,10.74,5,12.22,5,1,4.98,Agoria - Scala
12.22,811.6170581863881,11.05,0.96,13.02,2.11,5,2,5,12.89,0.67,10.66,5,12.27,5,1,5,Agoria - Scala
12.5,814.9544874564859,11.42,0.68,13.02,2.2,5,2,5,12.88,0.52,10.92,5,12.2,5,1,5,Agoria - Scala
12.67,830.9384634226881,11.68,0.57,12.96,2.27,5,2,5,12.86,0.4,10.86,5,12.23,5,1,5,Agoria - Scala
12.72,824.1910031478029,11.67,0.49,12.94,2.29,5,2,5,12.86,0.37,10.49,5,12.19,5,1,5,Agoria - Scala
12.38,820.7501235515564,11.21,0.77,12.96,2.16,5,2,5,12.95,0.62,10.29,5,12.14,5,1,5,Agoria - Scala
12.13,847.2313217481645,10.96,0.79,13.02,2.09,5,2,5,13.11,0.81,10.46,5,11.96,5,1,5,Agoria - Scala
12.58,859.539377497197,11.76,0.19,13.08,2.29,5,2,5,13.07,0.52,10.57,5,11.8,5,1,5,Agoria - Scala
12.59,857.3609878588901,11.43,0.29,13.02,2.28,5,2,5,13.08,0.49,10.78,5,11.92,5,1,5,Agoria - Scala
12.89,902.4471989641931,12.2,-0.06,13.1,2.41,5,2,5,13.11,0.28,10.64,5,11.92,5,1,5,Agoria - Scala
12.62,901.6942841514101,11.97,0.09,13.1,2.37,5,2,5,13.05,0.33,10.81,5,11.98,5,1,5,Agoria - Scala
12.35,882.1408552982547,12,0.35,13.09,2.29,5,2,5,13.03,0.43,10.9,5,12.09,5,1,5,Agoria - Scala
13.13,956.2383052935401,12.44,0.11,13.33,2.43,5,2,5,13.12,0.14,11.41,5,12.45,5,1,5,Agoria - Scala
13.15,940.8992895714958,12.11,0.31,13.42,2.37,5,2,5,13.09,0.2,11.57,5,12.61,5,1,5,Agoria - Scala
13.28,952.4106436405544,12.49,0.49,13.57,2.35,5,2,5,13.05,0.19,11.52,5,12.88,5,1,5,Agoria - Scala
13.37,956.2484470945209,12.3,0.5,13.6,2.33,5,2,5,13.14,0.24,11.49,5,12.88,5,1,5,Agoria - Scala
13.17,939.1138417788643,12.25,0.6,13.53,2.27,5,2,5,13.21,0.35,10.69,5,12.8,5,1,5,Agoria - Scala
13.23,926.9440403655569,12.5,0.5,13.43,2.33,5,2,5,13.11,0.25,11.09,5,12.75,5,1,5,Agoria - Scala
13.01,893.4188872754669,11.81,0.18,13.27,2.36,5,2,5,13.09,0.31,10.56,5,12.22,5,1,5,Agoria - Scala
12.79,846.8073779304548,11.79,0.26,13.08,2.34,5,2,5,12.94,0.33,10.43,5,12.11,5,1,5,Agoria - Scala
12.34,813.4238958768913,11.39,0.61,13.05,2.22,5,2,5,12.82,0.53,10.44,5,12.1,5,1,5,Agoria - Scala
11.97,796.7131449883441,10.66,0.83,13.05,2.09,5,2,5,12.8,0.8,10.21,5,11.89,5,1,5,Agoria - Scala
14.65,1111.3257430388805,13.53,-0.23,13.22,2.75,5,2,5,13.05,-0.65,11.74,5,13.25,5,1,5,Agoria - Scala
15.07,1271.4943146290027,13.53,0.08,13.35,2.77,5,2,5,13.11,-0.87,11.67,5,14.04,5,1,5,Agoria - Scala
15.1,1276.3904545471376,13.54,0.04,13.35,2.78,5,2,5,13.14,-0.87,11.61,5,14,5,1,5,Agoria - Scala
15.09,1280.691179949663,13.44,0.07,13.42,2.76,5,2,5,13.22,-0.82,11.85,5,14.02,5,1,5,Agoria - Scala
