theta,std,delta,c3,beta,e3,e1,normType,e2,gamma,c1,sigma,c2,alpha,h1,activity,h2,current song
13.36,1615.8247285912162,12.25,0.72,14.39,2.09,5,2,5,14.35,0.85,11.46,5,13.14,5,1,5,
13.36,1603.0332937392277,11.89,0.89,14.38,2.06,5,2,5,14.32,0.85,11.62,5,13.29,5,1,5,Agoria - Scala
13.46,1592.8430630594876,11.97,0.8,14.32,2.1,5,2,5,14.25,0.77,11.94,5,13.27,5,1,5,Agoria - Scala
13.4,1545.4352320971689,11.89,0.84,14.28,2.1,5,2,5,14.2,0.76,11.98,5,13.27,5,1,5,Agoria - Scala
12.99,1494.6266113570468,11.5,0.92,14.21,2,5,2,5,14.21,1,11.99,5,12.95,5,1,5,Agoria - Scala
12.8,1564.1384792331783,11.45,1.22,14.34,1.91,5,2,5,14.24,1.15,12.11,5,13.12,5,1,5,Agoria - Scala
14.02,1794.5237788387774,13.18,1.13,14.75,2.09,5,2,5,14.39,0.63,12.95,5,14.13,5,1,5,Agoria - Scala
13.88,1797.6779981184202,13.17,1.12,14.74,2.08,5,2,5,14.41,0.68,12.74,5,14.06,5,1,5,Agoria - Scala
13.83,1799.7838576832216,13.17,1.18,14.72,2.06,5,2,5,14.44,0.69,12.73,5,14.09,5,1,5,Agoria - Scala
